name,value,execution_time,feasible_solution_value
cap101,278141.74662759993,0.12063145637512207,1248142.9000000001
cap102,304286.8883457841,0.10253214836120605,1248142.9000000001
cap103,338667.8942952607,0.10716629028320312,1248142.9000000001
cap104,454525.8924007705,0.16283679008483887,1248142.9000000001
cap121,277510.5264953966,0.24927997589111328,2294768.799999999
cap122,231257.44478232277,0.14653420448303223,2272457.5999999987
cap123,233737.740540696,0.15073513984680176,2309786.449999999
cap124,346252.83107020444,0.1835496425628662,2425060.3249999983
cap131,255221.91137901315,0.17456388473510742,1248142.9000000001
cap132,158908.40836313684,0.11488699913024902,1248142.9000000001
cap133,240915.56082883503,0.12274885177612305,1222642.8000000003
cap134,289778.752440918,0.13619375228881836,1248142.9000000001
cap61,415425.9625279451,0.1527242660522461,1310720.6625000003
cap62,564207.8040037208,0.23334646224975586,1415549.2125000001
cap63,473271.2773663071,0.1740412712097168,1809891.0874999997
cap64,510863.9860925813,0.1515517234802246,1394667.2875000003
cap71,352752.95340540697,0.08540725708007812,1248142.9000000001
cap72,420452.624067761,0.10929441452026367,1248142.9000000001
cap73,356807.78247288044,0.08307600021362305,1248142.9000000001
cap74,457351.9497449331,0.08640265464782715,1248142.9000000001
cap91,215677.74360907136,0.08151078224182129,1523387.0125
cap92,316950.1094653788,0.12158536911010742,1536139.25
cap93,386735.5506732489,0.13550376892089844,1637185.775
cap94,473361.6165285786,0.18613457679748535,1640659.0749999997
capa1,14000470.441877328,88.03699040412903,19704291.08294
capa2,11831476.926172266,49.990548610687256,40564475.88552005
capa3,11363587.950111832,45.68262052536011,38788482.317909986
capa4,10111699.614150258,36.500701665878296,37480140.9768
capb1,7794411.284618802,42.03088736534119,37672977.95968996
capb2,6393942.458649167,28.256145238876343,35207877.78618994
capb3,8622613.05122202,50.96250104904175,33644851.222369954
capb4,7756062.605962594,41.12707018852234,32306436.476869956
capc1,10272113.579831963,147.68103098869324,29080314.859959953
capc2,7387401.295418264,41.64930057525635,33094975.655689992
capc3,8704910.711855993,75.83046054840088,31559129.198340025
capc4,9357995.610335145,101.93430256843567,13197191.962920012
